id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_073	21	24	4.105751294	0.171072971	1	13	24	24	0.061824992	-0.003555091	480	475	0.989583333	24	23	0.958333333	475	419	0.882105263	475	0.587655751	0.346827562	4403	3924	0.891210538
case_074	20	24	4.277364224	0.178223509	1	24	24	24	0.022995344	-0.005826508	480	480	1.000000000	24	24	1.000000000	480	434	0.904166667	480	0.433078341	0.188982686	4482	4089	0.912315930
case_075	20	24	4.616581788	0.192357575	1	24	24	24	0.061130363	-0.020923869	480	478	0.995833333	24	24	1.000000000	478	419	0.876569038	478	0.541303079	0.149258275	4442	3971	0.893966682
case_076	27	24	3.318473809	0.138269742	1	24	24	24	0.055896410	0.016677211	480	477	0.993750000	24	24	1.000000000	477	425	0.890985325	477	0.446847314	-0.055680514	4423	3930	0.888537192
case_077	25	24	8.711754699	0.362989779	1	1	24	24	0.095497543	-0.060880505	480	479	0.997916667	24	22	0.916666667	479	431	0.899791232	479	0.473249894	0.270364931	4479	4055	0.905336013
case_078	31	24	4.360362530	0.181681772	1	16	24	24	0.075092467	-0.074394130	480	479	0.997916667	24	23	0.958333333	479	410	0.855949896	479	0.626875810	0.002413055	4455	3784	0.849382716
case_079	25	26	19.091708149	0.734296467	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_080	19	39	74.205856794	1.902714277	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_081	19	24	9.408234549	0.392009773	0	0	24	24	0.095149235	-0.048031729	480	477	0.993750000	24	21	0.875000000	477	406	0.851153040	477	0.643971734	0.194384517	4425	3852	0.870508475
case_082	21	24	5.548113235	0.231171385	1	9	24	24	0.053891808	-0.037172379	480	480	1.000000000	24	23	0.958333333	480	440	0.916666667	480	0.420005557	-0.007433153	4502	4049	0.899378054
case_083	25	50	99.745047273	1.994900945	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_084	29	61	108.678853952	1.781620557	1	10	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_085	24	24	5.672020781	0.236334199	1	11	24	24	0.074456292	0.002775815	480	478	0.995833333	24	23	0.958333333	478	429	0.897489540	478	0.496198117	0.079438564	4446	3994	0.898335583
case_086	22	24	11.931533173	0.497147216	1	5	24	24	0.106248100	-0.007392668	480	479	0.997916667	24	22	0.916666667	479	426	0.889352818	479	0.562291262	0.098515248	4466	3993	0.894088670
case_087	18	24	4.858851126	0.202452130	1	13	24	24	0.067756231	-0.035128162	480	472	0.983333333	24	23	0.958333333	472	420	0.889830508	472	0.503473640	0.183209178	4345	3902	0.898043728
case_088	19	33	18.471004045	0.559727395	1	11	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_089	19	24	3.238736458	0.134947352	1	10	24	24	0.048129075	-0.022888974	480	477	0.993750000	24	23	0.958333333	477	425	0.890985325	477	0.583512981	0.189380173	4429	3975	0.897493791
case_090	23	24	7.386743400	0.307780975	1	9	24	24	0.064139639	-0.038925956	480	480	1.000000000	24	21	0.875000000	480	418	0.870833333	480	0.509102923	0.175500780	4488	3980	0.886809269
case_091	20	24	10.101149935	0.420881247	1	9	24	24	0.104626968	-0.034923913	480	479	0.997916667	24	21	0.875000000	479	432	0.901878914	479	0.483804575	0.101779856	4483	4121	0.919250502
case_092	21	29	39.610648382	1.365884427	1	22	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_093	24	24	6.936005945	0.289000248	1	10	24	24	0.059633563	-0.016989187	480	478	0.995833333	24	23	0.958333333	478	436	0.912133891	478	0.482053573	-0.085674851	4460	4034	0.904484305
case_094	22	51	151.081088867	2.962374292	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_095	23	71	237.351665734	3.342981208	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_096	21	51	146.407251615	2.870730424	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_097	23	45	118.395914839	2.631020330	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_098	26	71	130.004304798	1.831046546	1	7	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_099	25	53	126.575352004	2.388214189	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
