id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_086	22	24	12.199272348	0.508303015	1	2	24	24	0.065394292	-0.018548467	480	479	0.997916667	24	22	0.916666667	479	451	0.941544885	479	0.254768730	0.031000844	4466	4216	0.944021496
case_087	18	24	4.218769445	0.175782060	1	13	24	24	0.029377057	-0.008458091	480	472	0.983333333	24	23	0.958333333	472	446	0.944915254	472	0.277379221	-0.001508112	4345	4090	0.941311853
case_088	19	33	18.413464655	0.557983777	1	11	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_089	19	24	3.022373178	0.125932216	1	2	24	24	0.037672786	-0.013873838	480	477	0.993750000	24	23	0.958333333	477	443	0.928721174	477	0.367136029	-0.074686755	4429	4134	0.933393543
case_090	23	24	7.642530682	0.318438778	1	18	24	24	0.056780516	-0.049583760	480	480	1.000000000	24	23	0.958333333	480	445	0.927083333	480	0.331670129	0.187858676	4488	4183	0.932040998
case_091	20	24	9.594175452	0.399757310	1	4	24	24	0.065435104	-0.013799976	480	479	0.997916667	24	21	0.875000000	479	446	0.931106472	479	0.295506075	0.123492973	4483	4237	0.945126032
case_092	21	29	42.164715703	1.453955714	1	22	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_093	24	24	6.927834052	0.288659752	1	24	24	24	0.053162475	-0.016648691	480	478	0.995833333	24	24	1.000000000	478	456	0.953974895	478	0.246790152	0.090418685	4460	4247	0.952242152
case_094	22	51	156.461660813	3.067875702	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_095	23	71	228.481402542	3.218047923	1	2	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_096	21	51	162.971275940	3.195515215	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_097	23	45	134.786762187	2.995261382	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_098	26	71	181.384395343	2.554709794	1	12	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_099	25	53	157.409372096	2.969988153	1	5	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
