id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_036	25	24	4.164272211	0.173511342	1	24	24	24	0.040158139	-0.014991768	480	474	0.987500000	24	24	1.000000000	474	435	0.917721519	474	0.382207893	-0.051595534	4374	4077	0.932098765
case_037	24	24	4.603350271	0.191806261	1	24	24	24	0.036943617	0.028517817	480	478	0.995833333	24	24	1.000000000	478	451	0.943514644	478	0.231250302	-0.091196949	4475	4251	0.949944134
case_038	29	24	6.785127365	0.282713640	1	8	24	24	0.032735911	-0.019037128	480	478	0.995833333	24	23	0.958333333	478	449	0.939330544	478	0.208145425	-0.048443175	4453	4202	0.943633506
case_039	27	24	8.925368838	0.371890368	0	0	24	24	0.051460579	-0.026571837	480	473	0.985416667	24	21	0.875000000	473	439	0.928118393	473	0.311296690	-0.034351678	4372	4030	0.921774931
case_040	27	24	5.517844559	0.229910190	1	23	24	24	0.029708218	-0.005348789	480	479	0.997916667	24	23	0.958333333	479	456	0.951983299	479	0.245346896	0.147547681	4472	4276	0.956171735
case_041	21	24	4.519228897	0.188301204	1	24	24	24	0.032730080	-0.018113211	480	479	0.997916667	24	24	1.000000000	479	436	0.910229645	479	0.427578503	-0.122666160	4480	4126	0.920982143
case_042	20	24	12.291265128	0.512136047	1	17	24	24	0.058495011	-0.011673225	480	480	1.000000000	24	22	0.916666667	480	460	0.958333333	480	0.203952154	-0.084139462	4478	4237	0.946181331
case_043	24	24	0.795234915	0.033134788	1	24	24	24	0.007644006	-0.002303423	480	466	0.970833333	24	24	1.000000000	466	433	0.929184549	466	0.276436631	0.071259840	4231	3929	0.928622075
case_044	25	24	2.473473120	0.103061380	1	24	24	24	0.012293046	-0.007834827	480	480	1.000000000	24	24	1.000000000	480	455	0.947916667	480	0.266542303	-0.097217078	4490	4284	0.954120267
case_045	25	24	5.086197560	0.211924898	1	24	24	24	0.033269712	-0.003043742	480	480	1.000000000	24	24	1.000000000	480	448	0.933333333	480	0.302834847	0.105513535	4467	4091	0.915827177
